,name,frequency
28725,不尊,2
2965,好谋无断,2
2969,卓从,2
42202,已变,2
30331,白帽,2
28721,直飞,2
9276,徐郡,2
9274,吕奉先,2
9270,此难,2
2984,宣读,2
2986,读策,2
9261,心惊胆战,2
2988,早弃,2
9258,摆布,2
26420,鼎峙,2
9253,容得,2
9251,安邑,2
9250,建都,2
28717,天上,2
31957,张大,2
9244,绢帛,2
30339,逞凶,2
9237,乃放,2
42225,东市,2
31952,如虎,2
26432,江声,2
28710,难于,2
31971,其境,2
31972,愿当,2
9285,烧尽,2
26399,教先,2
28741,退归,2
26382,兄妹,2
26383,慈旨,2
9329,领旨,2
9328,今即,2
26387,吴侯乃,2
2941,军法从事,2
31982,某即,2
9317,两京,2
2944,尉伍琼,2
9315,气色,2
26396,各言,2
28732,回濡须,2
9305,气运,2
9286,荒芜,2
9304,樵采,2
9302,尚书郎,2
9301,草根,2
42188,永宁,2
9296,兴平,2
42190,臣辄,2
28729,两彪,2
9290,坏壁,2
44878,于剑阁,2
30328,管宁,2
9289,颓墙,2
2962,免罪,2
9287,满目,2
30341,母后,2
31948,皓首,2
31990,如山,2
42233,其宅,2
31916,被忠,2
30360,朝野,2
9150,渡船,2
9147,寻得,2
26479,嵌宝,2
3059,登殿,2
3061,卓命扶,2
31912,马径,2
3066,封锁,2
3067,无得,2
3068,擅入,2
9141,乐军,2
26487,箭垛,2
26488,百步,2
3071,表字,2
3072,中子,2
31905,阔处,2
9126,赦罪,2
9121,胡才,2
9118,白波帅,2
31904,相换,2
9114,弘农,2
26495,方下,2
42295,守备,2
3077,赞拜,2
9106,拥来,2
3081,履上,2
31903,陈式来,2
28675,一盒,2
3053,丘墟,2
3052,宗社,2
9160,船去,2
44843,舆榇,2
42234,曹爽心,2
31947,苍头,2
9223,触犯,2
9221,篱外,2
44853,拜官,2
9209,帝入,2
26445,仆从,2
3011,圣德,2
28698,冲动,2
31937,对山,2
30352,哭谓,2
31932,黄忠夺,2
26458,备惧,2
9184,渡者,2
28686,发哀,2
31931,杜袭引,2
31930,倦怠,2
31929,勿动,2
44842,焚其,2
42261,盛衰,2
28694,生子,2
31927,半山,2
3038,愤怒,2
3040,欺天,2
26469,败后,2
9166,我于,2
9164,白绢,2
30357,操骂,2
9339,众望,2
30315,宁与歆,2
32052,徐将军,2
42112,司马鲁,2
44928,其以,2
30295,入到,2
26315,程而行,2
9516,宗正,2
9515,王立,2
9511,公教,2
26316,逃遁,2
9509,操执其,2
30297,宫人,2
9506,之忧,2
9505,悬隔,2
32023,不鸣,2
9498,变否,2
26324,命去,2
30298,打开,2
30299,破壁,2
9488,之安,2
42100,太尉蒋,2
26327,之怒,2
9478,五霸,2
9477,兵以,2
28769,料想,2
9474,介意,2
9473,无足,2
2851,观书,2
28764,忽接,2
32017,闭上,2
26336,周泰听,2
5585,只引,2
26308,须告,2
9528,兴者,2
44929,增邑,2
2808,兄在,2
26280,异乡,2
2790,出于无奈,2
9580,管教,2
32051,愿助,2
9577,偷入,2
9574,某向,2
9571,不足道,2
26284,不孝,2
30290,殿后,2
2800,其主耳,2
9562,数程,2
9559,异议,2
2802,良禽择木,2
28782,广布,2
2833,贵不可言,2
2811,敬贤礼士,2
44934,千户,2
2815,某欲,2
2816,门路,2
9545,必兴,2
26299,推称,2
30294,华歆引,2
26300,祭祖,2
2825,董公,2
9537,深远,2
9532,代汉,2
2831,尚为,2
28776,粮缺,2
2868,布见卓,2
26338,周泰领,2
9344,未备,2
9458,名昭,2
42142,司蕃,2
2892,李儒劝,2
26358,胸襟,2
9394,帝赐,2
9389,故宫,2
9388,马军先,2
9386,曹洪分,2
32005,焦炳,2
32003,曹兵败,2
28753,仲谋,2
9375,方毕,2
42151,陈二人,2
30311,龙头,2
9373,俱以,2
9369,十员,2
2906,失德,2
30312,龙腹,2
9364,差往,2
28750,回秣陵,2
31998,云挺枪,2
9359,蔽日,2
9357,一箭之地,2
9355,无马,2
9354,帝从,2
2912,袁绍亦,2
2917,身先丧,2
26374,放条,2
26375,行不得,2
30314,龙尾,2
2889,封弟,2
9398,图报,2
2886,越大,2
9421,兵右出,2
26339,纵辔,2
42117,辛宪英,2
9454,朝觐,2
28762,而攻,2
26340,当后,2
42119,谋逆,2
26341,奉周,2
26343,必经,2
26346,马问,2
42127,而弃,2
9430,洛阳城,2
42128,莫大焉,2
9425,押阵,2
9419,樊哙,2
26355,幽困,2
42131,夺门而出,2
9416,许褚飞,2
2875,公若,2
44910,封禅,2
2879,卓以,2
2880,金甲锦,2
32009,惊问,2
9408,精将勇,2
28758,授首,2
9405,议欲,2
26353,实对,2
42137,已闭,2
30308,邴原,2
44525,邓征西,2
7899,特此,2
7898,屡战,2
30824,金根,2
5006,延平,2
43530,汉祖,2
28027,天朝,2
27545,枪杆,2
30827,出警,2
30828,入跸,2
31159,一棺,2
5041,搜看,2
27551,恶战,2
6298,除暴,2
43540,难为,2
30833,丁夫人,2
43543,战而克,2
6293,千丈,2
44078,艾只,2
27555,马儿,2
44077,过界,2
5070,广盛,2
27558,誓灭,2
27559,止不住,2
30839,成章,2
30840,操欲立,2
5078,领州事,2
5081,发书到,2
28009,修入,2
6281,赶不上,2
6279,走得快,2
27564,超于,2
44071,邓艾得,2
28030,之盛,2
30823,王之爵,2
28404,三百六十里,2
5002,同郡,2
43499,欢乐,2
6377,究其,2
6375,收泪,2
6373,忧疑,2
6371,快乐,2
28050,汝知之,2
4966,以顺,2
6367,怜爱,2
28049,逆吾者,2
28047,攻无不取,2
28046,战无不胜,2
4979,养军,2
28045,无惧,2
6354,拥抱,2
44109,诏止,2
4990,八俊,2
30819,三辞,2
31173,蜘蛛,2
6346,恐为,2
43515,句践,2
4996,鲁国,2
27530,超挺枪,2
31172,蜂窠,2
6337,当思,2
27534,盔甲,2
28035,耀日,2
27536,赤体,2
27537,大骇,2
30822,受魏,2
6275,看花,2
5088,代之众,2
27566,急收军,2
43557,沈岭,2
27988,未传于,2
5128,耿武,2
43595,被维,2
27599,会话,2
27600,遂即,2
31125,非君,2
27985,无名氏,2
27603,马而出,2
27604,对语,2
27605,同举,2
44045,王经之,2
5137,掌州事,2
5140,懊悔无及,2
27982,以传,2
6180,好言慰,2
6177,来朝,2
30857,吴地,2
5144,遣弟,2
6174,见责,2
43609,维至,2
6168,路遇,2
6167,怒恨,2
27610,四十岁,2
27611,中旬,2
6162,一看,2
6161,床后,2
43613,持书,2
6158,朦胧,2
6156,布心,2
27989,如流,2
27990,何相,2
5120,贤者,2
44065,维将,2
30842,发言,2
6257,如雷灌耳,2
27571,侯选皆,2
5095,可请,2
6248,其衣,2
27573,杨秋为,2
31146,心痛,2
6243,怜而救,2
6242,愿君,2
43570,真于,2
28004,一览,2
6238,君为,2
6237,今生,2
31141,神卜,2
30853,奇花,2
6229,以明,2
43576,姜维驱,2
27998,三峡,2
27584,叔向,2
27585,超向,2
30849,有所思,2
6219,不良,2
5115,以州,2
30852,王世子,2
6211,泣谓,2
31131,推之,2
27992,公如,2
5118,虎入羊群,2
6379,我意,2
6380,所惑,2
43496,中贵,2
4829,朱红,2
43389,吴兵屯,2
6602,青袍,2
4804,帝星,2
6599,侵晨,2
27420,丁斐,2
31251,所教,2
4805,乱国,2
6586,卓进,2
28118,分外,2
6583,以壮,2
31249,求寿,2
4817,打捞,2
44190,郎正,2
27426,重铠,2
6578,信其言,2
27427,保操,2
4824,装束,2
31246,汝可乘,2
27431,诱贼,2
31244,其貌,2
31243,盘石,2
6569,辔头,2
6567,一轮,2
31241,一块,2
6561,假作,2
43409,入寿春,2
6556,惊报,2
6555,预有,2
27437,暂为,2
43387,安丰,2
4796,星月交辉,2
31255,松树,2
6642,成时,2
6668,樊稠闻,2
30752,三番,2
6665,至坞,2
31278,南斗,2
4761,急间,2
43356,石苞为,2
43358,朱异来,2
31274,过处,2
43363,司马昭闻,2
28128,每欲,2
31271,穿红者,2
6645,富家,2
31270,必致,2
28127,朝暮,2
4793,宰太牢,2
27400,操伏,2
4775,交集,2
27402,河岸,2
4778,余火,2
44204,湖山,2
4781,建章,2
6626,两旁,2
6624,王允大,2
4782,基上,2
4786,掩闭,2
4790,请众,2
6616,御车,2
4792,神位,2
31240,鹿脯,2
28107,不知足,2
4952,酸枣,2
27443,许褚领,2
4909,小疾,2
44140,筹画,2
6461,父子情,2
6460,自姓,2
31209,令卜,2
31208,鸡毛,2
4912,绍笑,2
27491,客礼待,2
27492,子伯,2
6443,允急,2
6441,怒气冲天,2
6440,污辱,2
43469,深加,2
31203,妇告,2
6422,乃言,2
4921,何由,2
43479,今若留,2
30801,力言,2
6415,公女,2
30802,时乎,2
44128,姜维累,2
43487,景耀,2
30807,虎目,2
6401,叹惜,2
27508,已筑,2
6397,虚掩,2
6396,眼望,2
4950,欲烦,2
4951,孟津,2
27481,忧惧,2
4903,假此,2
6473,布意,2
6509,罪恶贯盈,2
6542,熊军,2
44180,阎宇,2
4845,问程,2
27450,俱落,2
43425,淮水,2
4855,载而进,2
43426,水泛,2
6528,未央,2
6527,欲会,2
4859,二十六年,2
27455,马超引,2
27456,战至,2
27458,野营,2
31226,十九岁,2
28075,试看,2
28093,早先,2
4866,巡狩,2
27472,渭口,2
30781,孤当,2
30782,休戚,2
28086,仁爱,2
44153,侯河,2
44151,在此一举,2
27475,屏障,2
6482,临期,2
30791,权以,2
4898,合吾意,2
6475,恐事,2
27975,十三篇,2
27617,超心,2
43620,姜维恐,2
5750,数句,2
5430,公礼,2
5816,画阁,2
5807,近见,2
27890,松笑,2
31008,饮此,2
5443,愿兄,2
5802,恩养,2
43802,地脉,2
43938,凛然,2
43804,姜维至,2
5790,贱人,2
5787,允以,2
5785,二八,2
5779,歌伎,2
27779,设坛,2
5776,长吁短叹,2
5455,船傍岸,2
43811,邓忠引,2
27886,冲撞,2
5772,策杖,2
30931,牢中,2
5767,惊畏,2
31000,一本,2
30933,看守,2
5763,因使,2
5762,图害,2
5479,黄祖引,2
30997,进上,2
27787,作文,2
5818,允到,2
43791,姜维以,2
5821,纳貂蝉,2
43952,王沈,2
30912,地遁,2
5886,小女,2
30914,人遁,2
5402,用武,2
5403,表然,2
5405,设备,2
31026,牧羊,2
5406,有四子,2
5412,名权,2
5866,致谢,2
43955,主辱臣死,2
5862,使人密,2
31021,所往,2
27755,汉宁,2
43790,汉景耀,2
5856,万刃,2
5420,之妹,2
27902,智识,2
31018,化成,2
27763,张衡,2
27765,学道者,2
5838,好色之徒,2
5837,我观,2
5828,倒悬,2
5827,使令,2
30921,位极人臣,2
5826,曾言,2
5824,泪如泉涌,2
5485,父侧,2
5488,鼠贼,2
43759,近身,2
5746,省台,2
5527,之兄,2
27864,天下无敌,2
27860,张鲁之,2
27816,闻操,2
27818,马超新,2
43858,三百六十五,2
5540,可暂,2
5654,大闹,2
5649,遭殃,2
5647,殒命,2
27822,财富,2
43862,尽拔,2
5544,遽尔,2
43863,望引兵,2
5546,愈急,2
5634,棺木,2
5628,愿入,2
43870,变来,2
27830,刘焉之,2
30968,一株,2
5618,刘表军,2
5551,分野,2
5612,程普保,2
5610,引水,2
30964,易耳,2
5600,锣响,2
27843,张鲁欲,2
5597,闪入,2
5573,连珠,2
5525,许之,2
5678,罢战,2
27866,不暇,2
30983,鲈鱼,2
5492,阵内,2
5742,哀号,2
5501,半个,2
5738,眼睛,2
30990,紫芽,2
5735,命于,2
5734,降卒,2
43827,八卦,2
5730,横门,2
5503,程普纵,2
43830,变阵,2
5721,珍珠,2
30984,放在,2
27876,无事,2
27870,地理图,2
5714,屯积,2
27802,而食,2
5710,厚薄,2
27805,境内,2
43842,地阵,2
5700,董氏,2
5516,求教于,2
5698,董璜,2
5517,此围,2
30979,于堂,2
5696,仪仗,2
5690,或答,2
5686,投之,2
5387,多装,2
43963,已行,2
44032,曹奂,2
31080,闻神卜,2
5213,左右两队,2
6091,待过,2
6086,少罪,2
5223,右者,2
6081,当取,2
43653,内燥,2
31094,稍长,2
6075,相求,2
5228,袁绍自,2
5232,严纲,2
5233,大红,2
6071,名唤,2
6067,小宴,2
5237,巳时,2
43658,孙恩,2
5240,遮箭牌,2
27655,超听,2
5246,来得,2
5262,义于,2
5266,斩将搴旗,2
6046,毡车,2
31085,疏狂,2
6044,允即,2
43668,刘丞,2
5272,出观,2
30883,空壳,2
27945,车载斗量,2
27664,就席,2
27667,可速行,2
27959,开发,2
5206,救民,2
6092,布谢,2
30869,青懒衣,2
27619,公知吾,2
27621,虽妙,2
30863,本城,2
5160,桥西,2
31112,子春,2
31111,四座,2
27627,改易,2
30867,一足,2
5170,狼心狗行,2
5172,上桥,2
27633,疑则,2
30868,白藤,2
6119,眼泪,2
31103,年少,2
6098,共寝,2
44023,子司马炎,2
6115,之态,2
5192,上坡,2
6113,忧愁,2
31101,召辂,2
6111,偷眼,2
6110,束发冠,2
44021,受禅于,2
5196,马去,2
5197,土坡,2
27642,草稿,2
6102,卧房,2
44016,以王,2
6033,青春,2
43997,南阙,2
5380,多诈,2
31078,丞许,2
27717,初贼,2
5942,致敬,2
5343,于绍,2
5937,两傍,2
5936,入堂,2
27719,冯翊,2
5344,复命,2
27722,北渡,2
5345,表荐,2
43974,见髦,2
5923,审钧意,2
43742,施朔,2
5356,来求,2
27725,便取,2
31043,归告,2
31042,倏忽,2
5357,千匹,2
5909,选一,2
27729,连车,2
5360,表亦,2
27733,骄其心,2
5365,截路,2
5902,目不转睛,2
27915,之雄,2
5373,叵耐,2
5378,聚帐,2
31035,羊头,2
5898,靠着,2
30910,天遁,2
27716,阜辞,2
30902,峨嵋山,2
5332,感德,2
43707,孙楷,2
6026,阳春,2
31076,服药,2
27939,不可胜记,2
6022,一点,2
27675,截于,2
27937,其类,2
6019,允命,2
27685,超以,2
31068,风定,2
43699,会稽王,2
5317,魂飞天外,2
31061,知机,2
43706,孙遣,2
43708,董朝,2
5958,无德,2
43709,虎林,2
27695,各要,2
27697,上者,2
27928,莫可及,2
5977,舞于,2
27704,深得,2
31056,权势,2
5967,供食,2
31055,演武厅,2
5327,不舍,2
31054,奔上,2
5962,元勋,2
30899,不醉,2
6672,良家,2
4756,土冈,2
4754,隔水,2
7473,求同,2
28311,天理,2
28309,以忠,2
27083,子之命,2
28304,法正为,2
7524,文举,2
7517,元龙,2
28301,愚人,2
30622,小师桥,2
7514,问帐,2
7507,一人往,2
44409,会怒,2
7506,更得,2
42986,葛雍,2
30624,兵进,2
31476,定爵,2
7495,到家,2
28295,先得,2
7493,搬出,2
4221,贵贱,2
28293,错失,2
7487,感君,2
31472,墨绶,2
42997,退者,2
7481,临别,2
4226,而误,2
27098,多虑,2
4228,牛酒,2
7478,目不邪视,2
43001,师从,2
30614,锋锐,2
42972,光禄勋,2
27073,体貌,2
7564,不空,2
4110,丧命,2
27059,不若降,2
4115,立着,2
7578,人送,2
4120,呼玄德,2
44438,会闻,2
28326,总守,2
28325,西行,2
7566,糜竺至,2
28324,当铭,2
28323,金石之言,2
4142,时报,2
7565,得民心,2
4145,众大惊,2
28315,宜从,2
7563,中酒,2
7561,座上客,2
42957,土崩,2
42958,新割,2
7555,长成,2
30610,内书云,2
28318,逆取顺守,2
31490,有别,2
27070,流落,2
27071,杂处,2
7544,太中,2
7542,通家,2
28316,权变,2
44401,荀恺,2
7470,买卖,2
4106,列坐,2
30629,曹军势,2
7398,其如,2
4302,冲过来,2
43032,惜命,2
27126,愤恨,2
30650,再起,2
7381,仁人君子,2
7378,所到,2
27130,尚知,2
7374,以大,2
7373,闻明公,2
7372,旧恩,2
27131,恨者,2
4317,旗招,2
30653,官议,2
7365,陶谦交厚,2
4329,八路军,2
7359,典韦为,2
4330,兵齐出,2
31448,以刀,2
4338,飞走,2
7350,此仇,2
7349,杀吾父,2
31446,以击,2
4339,如风,2
7340,张杀,2
31444,至市,2
31442,解邺郡,2
28260,惶愧,2
4347,便战,2
7402,驰马,2
44380,黄皓用,2
7409,获罪,2
7451,死无葬身之地,2
7469,尝往,2
4237,亲领,2
43005,子文鸯,2
44397,陷住,2
7461,吕温侯,2
4242,卓遂,2
27103,甚难,2
43008,军报,2
4248,卓自,2
7456,那知,2
30632,桥南,2
27106,城面,2
7453,本为,2
27108,尝怀,2
27118,恨气,2
30634,手足无措,2
7445,久镇,2
4265,袁遗,2
43015,钢鞭,2
28281,尝思,2
4280,红锦,2
31462,尽命,2
31460,非是,2
7427,不改,2
30642,谷利,2
7417,报仇雪恨,2
4286,玲珑,2
7415,某愿助,2
7586,部领,2
44440,会大惊,2
43055,诞引,2
7755,二千人,2
44494,追时,2
26976,玄德怒,2
7829,曹侯,2
7826,天各一方,2
26977,荆南,2
3938,悬于,2
7823,备自,2
26980,究问,2
28377,回路,2
26987,醉乡,2
7810,若举,2
7808,不称职,2
3947,虎体,2
7802,自写,2
26990,轻忽,2
3954,赵岑,2
7795,王纲,2
7792,牌印,2
28369,割断,2
42871,荒淫无道,2
7788,轩昂,2
42872,亵近,2
42873,娼优,2
26995,些小,2
42879,师遂,2
7769,陶使君,2
3964,华雄引,2
42881,彭城王,2
3967,被华雄,2
26974,词讼,2
3933,布视,2
7835,明公先,2
31573,还家,2
31580,剩下,2
28401,预走,2
7886,受制于人,2
7885,君以,2
7882,陈宫来,2
28398,说法,2
26950,必令,2
3880,爵位,2
3881,年齿,2
7876,教杀,2
7875,庞舒,2
7872,私藏,2
3886,既立,2
7869,投张,2
3931,勿虑,2
42832,师令,2
44509,十余路,2
30560,回蜀,2
26957,长揖不拜,2
26961,拿出,2
26962,孔明书,2
7854,已袭,2
30566,攻合,2
44499,孔函谷,2
31565,攀藤附葛,2
31562,军退,2
3930,温侯吕,2
7836,私仇,2
7761,善于,2
7754,子龙引,2
27053,共赞,2
3976,孙坚引,2
28346,门牙,2
4043,饱餐,2
7680,乡党,2
4045,月白风清,2
27027,百里之才,2
7673,孔北海,2
7667,请救兵,2
7666,料必,2
4052,坚军,2
7659,严装,2
7655,腰带,2
7636,赠与,2
7634,慈来,2
4062,两箭,2
31515,擂木,2
31514,多置,2
4063,躲过,2
4067,弓纵马,2
7621,某故,2
4075,雄军,2
28331,望西川,2
7613,昨自,2
30605,薛悌,2
44443,神庙,2
7610,名慈,2
4101,绍大惊,2
7608,黄县,2
4102,孙文台,2
4103,于华雄,2
7684,暴乱,2
28347,黄公衡,2
7688,救人,2
27015,大才,2
42886,公曹髦,2
3982,姓程,2
28362,有益,2
3985,铁脊,2
7739,容图,2
3988,名盖,2
7734,母命,2
42892,乡公,2
3989,字公覆,2
7725,如人,2
7719,独无,2
28355,再言者,2
31532,令二,2
7711,欺弱,2
4031,缺食,2
27017,当于,2
28352,诤臣,2
7704,糜竺来,2
4006,助恶,2
44466,阴兵,2
4011,斗不数合,2
27019,鲁肃荐,2
7699,玄德驱,2
4018,兵回,2
7697,双枪,2
4021,使人于,2
28350,俞元人,2
42910,师急,2
7329,落草,2
4368,肯舍,2
6677,亲属,2
44234,今吾,2
27309,枪望,2
30729,忠君,2
30730,令众军,2
6894,不候,2
43256,不美,2
44242,蒋斌守,2
4631,陵寝,2
6887,大鸿,2
4632,取其,2
6884,大掠,2
6882,竟天,2
4636,殆尽,2
6875,允奉,2
6874,得安,2
4637,缎匹,2
44240,王含守,2
6869,骑往,2
6865,偷开,2
6860,暴厉,2
27320,声价,2
30731,猛风,2
31325,玄奥,2
30732,波涛汹涌,2
6849,怒气填胸,2
4643,已弃,2
44236,种麦,2
6842,布急,2
43274,邓艾见,2
27328,操已,2
31337,陆口守,2
4613,行得,2
31338,屯下,2
31348,随之,2
6980,选择,2
6972,形体,2
28179,孔明命,2
4570,荀爽,2
27279,直追,2
4573,岂惜,2
43221,鲍素,2
27285,中贼,2
4575,黄琬,2
6954,李为,2
6953,官品,2
28174,长存,2
44257,往伐,2
27293,起立,2
43248,维欲,2
6942,郭二贼,2
43232,姜维必,2
43233,段谷,2
27294,排栅,2
27298,各布,2
4593,卓即,2
4597,逆党,2
6927,忠诚,2
27300,面如傅粉,2
4598,尽斩于,2
44248,今蜀主,2
6913,汝独,2
31340,火灾,2
4650,人烟,2
4654,各于,2
44267,邓敦,2
28154,钧意,2
27357,蒲阪,2
4728,中枪,2
6736,幼主,2
6734,佞臣,2
6733,错乱,2
6732,衰微,2
43317,上楼,2
27363,兵渡,2
27365,不攻,2
4736,公急,2
31297,伤折,2
43324,司马昭之,2
6718,力救,2
30747,权在,2
6714,续成汉,2
6713,倘得,2
31295,定军,2
31294,黄猪,2
31293,三八,2
6707,背国,2
6700,国之,2
4741,再生,2
4742,汝之力,2
6688,珠宝,2
4744,拖刀,2
43344,以继,2
4750,脱去,2
4751,负操,2
4752,彼岸,2
43306,昭大怒,2
6748,士大夫,2
43304,诞曰,2
6800,不备,2
6819,问起,2
30736,风急,2
6817,赤儿,2
6816,一河,2
4661,劫迁,2
27334,刀法,2
4671,不足与谋,2
27336,随到,2
6808,李等,2
6805,敌得,2
6804,军门,2
30738,上高,2
4680,可教,2
27341,乱动,2
27351,无破,2
6783,反乎,2
6782,徒死,2
6778,洗荡,2
43292,两淮,2
4699,操急令,2
6766,此四人,2
4710,时约,2
4711,明如昼,2
6761,求赦,2
6759,乱臣,2
28141,专欲,2
4723,草中,2
4725,二枪,2
6991,提出,2
30715,观战,2
31437,死据,2
28211,汗流满面,2
7243,留人,2
7240,出众,2
7237,姓于,2
27180,现统,2
27181,可作,2
4434,销金,2
43099,守边,2
4435,五彩,2
4439,飘动,2
27183,何暇,2
4444,擒贼,2
7223,昌邑,2
43104,王经引,2
31410,先期,2
27190,而觉,2
28223,近得,2
27196,令明,2
27198,梦兆,2
7199,闻名,2
4464,家门,2
7192,教授,2
4465,之私,2
31400,领家,2
30692,得进,2
7181,阴人,2
7180,投操,2
31398,正月十五,2
7175,归农,2
7174,尽令,2
44328,会唤,2
7247,手杀,2
4406,电光,2
7293,百余辆,2
7318,衣装,2
7316,马屯于,2
27148,加赏,2
4372,炎炎,2
30662,甘宁百,2
7312,投一,2
7310,夏末秋,2
43062,江淮,2
43063,王基引,2
27152,伤身,2
43065,宋白,2
28246,先事,2
24776,奠酒,2
30670,以挫,2
31421,御林,2
7287,避难,2
7282,武有,2
43075,主曹髦,2
7274,巍然,2
7271,执定,2
4400,踊出,2
27168,力乏,2
44336,凿山,2
30674,离濡须,2
27170,可平,2
4404,金线,2
7258,铁戟,2
28236,时清,2
31396,二吉,2
7164,击贼,2
4556,荒地,2
4487,荡覆,2
7073,直逼,2
27241,饥荒,2
7069,一闪,2
27242,字旗,2
43175,旱地,2
7064,马超背,2
31380,报本,2
7059,马腾之,2
7058,从阵,2
30706,观卿,2
4525,已衰,2
44279,绊住,2
27251,闭城,2
7047,忻喜,2
27253,钟进,2
7039,战胜,2
28188,同乐,2
4543,尉黄琬,2
30712,敌张,2
43192,五可胜,2
31371,王长史,2
7014,声言,2
31370,德伟,2
30713,权许,2
31367,讨操,2
27264,三代,2
7001,残虐,2
4550,瓦砾,2
43203,彼安能,2
7076,先见之明,2
7079,两月,2
27239,中土,2
27222,八部,2
43132,妙论,2
44298,魏景元,2
4497,兵无战心,2
28208,次遣,2
4503,西头,2
4504,东头,2
27215,挥涕,2
31388,吉邈,2
31387,长名,2
43145,计矣,2
43148,钟提,2
30699,不折,2
7134,于案,2
27224,程银,2
43169,虽退,2
7124,一宴,2
44292,造船,2
27226,张横,2
7117,李大怒,2
7115,放走,2
4510,一十二,2
27231,八将,2
7096,郭汜令,2
27233,共起,2
43162,安西将军,2
7089,三家,2
28201,宽厚,2
4514,天运,2
10128,深山,2
30959,中耳,2
12566,倚恃,2
1464,寝则,2
25555,责下,2
460,资财,2
41201,不坠,2
32563,令满,2
41203,回旗,2
40643,六丁,2
12448,许婚,2
456,有志,2
41204,返鼓,2
1463,同桌,2
455,倡乱,2
25554,子龙取,2
32559,满宠谏,2
41210,开目,2
11343,服事,2
11341,三分天下有其二,2
41213,子命,2
11337,昔周,2
41214,百年,2
29975,困守,2
45431,消息报,2
29248,宜存,2
32863,军袭,2
11360,多言者,2
40640,天复,2
11375,居右,2
11394,碣石,2
1425,南郊,2
1428,有功者,2
1435,张钧,2
11385,以纪,2
40652,此举,2
32574,提调,2
32572,司马王甫,2
12433,愿明,2
11378,第五路,2
11373,第一路,2
11361,建号,2
32571,于襄江,2
12436,女许,2
12437,明上,2
1449,定州,2
32568,胆战心惊,2
1450,安喜县,2
40647,杜睿,2
25550,翼德要,2
461,乡勇,2
29255,硬弓,2
11332,四百,2
1479,见督邮,2
11255,出操,2
11277,表赠,2
29983,使不得,2
32537,王受,2
11282,操执,2
11281,登辞,2
29235,牢记,2
440,名飞,2
431,若巨雷,2
11280,登为,2
12481,负于,2
29234,八个,2
11275,公当,2
12472,亥时,2
12482,终是,2
25600,骂战,2
1528,前过,2
41255,管乐,2
11268,绝婚,2
29231,除死,2
12483,有伤,2
11258,相敬之,2
12489,头献,2
429,豹头环眼,2
25593,一千个,2
1514,那得,2
32551,或言,2
1499,因得,2
11323,惹出,2
11322,婚姻,2
12459,多军,2
25092,现成,2
11317,曹公知,2
1489,侍立阶,2
448,公看,2
1494,备乃,2
41230,于今,2
25579,刘磐,2
29243,公琰,2
12471,宜用,2
446,屠猪,2
1504,虚报,2
29523,忘恩背义,2
29239,巴州,2
25588,引兵望,2
32540,裂帛,2
12466,预作,2
1513,无非,2
25591,这口,2
12467,突出重围,2
12423,进计,2
45450,无及,2
32580,昼则,2
11491,杨二人,2
518,我三人,2
12363,结婚,2
29949,用法,2
25489,改嫁,2
11493,布然,2
29950,德政,2
504,以己,2
502,应募,2
25128,已渡,2
12368,一破,2
25492,文武双全,2
12354,胜者,2
32603,吕常,2
25495,合家,2
11481,其手,2
40678,曲者,2
11475,黄罗销,2
11473,金瓜银,2
25500,为妻,2
29795,一人来,2
1390,弓一箭,2
11467,料敌,2
1367,玄德打,2
11498,爪牙,2
25531,孔明亲,2
12329,攻下,2
11529,封其子,2
12324,加封,2
25478,家嫂,2
12326,之禄,2
25479,樊氏,2
25142,曹仁令,2
29294,严颜军,2
1340,一贼,2
11522,虽新败,2
11521,策乃,2
1342,知名,2
12350,操兵方,2
520,协力同心,2
29943,刑法,2
29289,教马军,2
41122,竭忠,2
25137,吴阵,2
25136,一裹,2
12344,玄德当,2
12346,张引军,2
25487,寡居,2
12348,泗水,2
29793,超寨,2
11465,大道,2
25504,一拳,2
25525,行计,2
11421,因惧,2
25106,取耳,2
29519,旧情,2
467,正饮间,2
12415,愁闷,2
29269,一变,2
11419,保安,2
41165,久经,2
11415,乌合,2
11413,试言,2
12417,作主,2
488,相貌堂堂,2
465,村店,2
25102,之意否,2
11407,何足介意,2
29267,性如烈火,2
11402,移祸于,2
12419,敢动,2
25530,云喝,2
12420,只同,2
25101,有取,2
11399,俱至,2
11422,无家,2
1409,闲行,2
12408,悔无及,2
473,入店,2
41142,魏延必,2
25505,打倒,2
32853,复上,2
29276,巴郡城,2
41149,李福领,2
1402,坚有,2
41151,虚废,2
11451,归汉,2
32592,粮料,2
41153,旧制,2
41154,轻废,2
11444,叛贼,2
29275,割下,2
29274,口说,2
11441,登笑,2
25514,美人计,2
32854,白浪滔天,2
29273,岂降,2
11434,发表,2
25518,连累,2
11428,尺书,2
25072,前盟,2
32880,疗毒,2
533,同心协力,2
32482,其议,2
11103,归期,2
25669,沉于,2
25027,操点,2
1705,身无,2
41335,弃甲丢盔,2
32484,王令,2
11093,中住,2
29552,复用,2
1709,内乱,2
25024,远离,2
25023,虽知,2
41331,大字,2
12599,惊醒,2
1713,崩摧,2
12601,曹兵齐,2
363,刘贞,2
1716,一二,2
29767,亮闻,2
29177,汉兴,2
11088,枕席,2
32916,恐君,2
32917,侯惧耳,2
45362,大帝,2
12584,知悉,2
25018,金锁,2
32488,四百余,2
11125,五百斤,2
1670,免冠,2
